x,v_cnavier,x_ghia,v_ghia
0.007812,0.001033,0.000000,0.000000
0.023438,0.001790,0.062500,0.181200
0.039062,0.000379,0.070300,0.206000
0.054688,-0.003098,0.078100,0.227400
0.070312,-0.007328,0.093800,0.257200
0.085938,-0.011070,0.156300,0.327300
0.101562,-0.013713,0.226600,0.376900
0.117188,-0.015130,0.234400,0.378000
0.132812,-0.015462,0.500000,0.025800
0.148438,-0.015003,0.804700,-0.429700
0.164062,-0.014117,0.859400,-0.515500
0.179688,-0.013125,0.906300,-0.551200
0.195312,-0.012234,0.945300,-0.562200
0.210938,-0.011515,0.953100,-0.558900
0.226562,-0.010934,0.960900,-0.549400
0.242188,-0.010400,0.968800,-0.534500
0.257812,-0.009816,1.000000,0.000000
0.273438,-0.009110,,
0.289062,-0.008243,,
0.304688,-0.007203,,
0.320312,-0.006003,,
0.335938,-0.004662,,
0.351562,-0.003201,,
0.367188,-0.001641,,
0.382812,0.000005,,
0.398438,0.001726,,
0.414062,0.003513,,
0.429688,0.005363,,
0.445312,0.007269,,
0.460938,0.009226,,
0.476562,0.011229,,
0.492188,0.013272,,
0.507812,0.015345,,
0.523438,0.017439,,
0.539062,0.019545,,
0.554688,0.021650,,
0.570312,0.023742,,
0.585938,0.025808,,
0.601562,0.027833,,
0.617188,0.029803,,
0.632812,0.031701,,
0.648438,0.033511,,
0.664062,0.035215,,
0.679688,0.036796,,
0.695312,0.038237,,
0.710938,0.039519,,
0.726562,0.040625,,
0.742188,0.041541,,
0.757812,0.042253,,
0.773438,0.042748,,
0.789062,0.043012,,
0.804688,0.043032,,
0.820312,0.042788,,
0.835938,0.042255,,
0.851562,0.041396,,
0.867188,0.040164,,
0.882812,0.038502,,
0.898438,0.036336,,
0.914062,0.033527,,
0.929688,0.029711,,
0.945312,0.024012,,
0.960938,0.015321,,
0.976562,0.004590,,
0.992188,-0.002230,,
