x,v
0.007812,0.000000
0.023438,0.037713
0.039062,0.069921
0.054688,0.097554
0.070312,0.121511
0.085938,0.142051
0.101562,0.159449
0.117188,0.173987
0.132812,0.185939
0.148438,0.195570
0.164062,0.203125
0.179688,0.208823
0.195312,0.212861
0.210938,0.215404
0.226562,0.216591
0.242188,0.216536
0.257812,0.215326
0.273438,0.213026
0.289062,0.209684
0.304688,0.205328
0.320312,0.199975
0.335938,0.193629
0.351562,0.186287
0.367188,0.177939
0.382812,0.168572
0.398438,0.158169
0.414062,0.146715
0.429688,0.134195
0.445312,0.120596
0.460938,0.105910
0.476562,0.090136
0.492188,0.073278
0.507812,0.055352
0.523438,0.036383
0.539062,0.016409
0.554688,-0.004513
0.570312,-0.026309
0.585938,-0.048883
0.601562,-0.072111
0.617188,-0.095838
0.632812,-0.119875
0.648438,-0.143990
0.664062,-0.167906
0.679688,-0.191297
0.695312,-0.213783
0.710938,-0.234934
0.726562,-0.254267
0.742188,-0.271259
0.757812,-0.285358
0.773438,-0.296004
0.789062,-0.302656
0.804688,-0.304824
0.820312,-0.302105
0.835938,-0.294227
0.851562,-0.281076
0.867188,-0.262728
0.882812,-0.239467
0.898438,-0.211781
0.914062,-0.180345
0.929688,-0.145993
0.945312,-0.109667
0.960938,-0.072369
0.976562,-0.035259
0.992188,0.000000
